tester_id,experience_level,browser,completed_tutorial,completed_main_or_watched_full_run,minutes_to_first_goal,blocking_issue,top_confusion,positive_note,score_1_5,follow_up_required
P01,,,,,,,,,,
P02,,,,,,,,,,
P03,,,,,,,,,,
P04,,,,,,,,,,
P05,,,,,,,,,,
